"Banka Adı","Adres","Telefon","Fax","Web Adresi","Teleks","Eft","Swift"
"Adabank A.Ş. ","Büyükdere Cad. Rumelihan No 40 Kat 2 Mecidiyeköy İstanbul  ","212-272 64 20 ","212-272 64 46 ","http://www.adabank.com.tr ","27282 adb TR ","0100 ","ADABTRIS  "
"Akbank T.A.Ş. ","Sabancı Center 4. Levent İstanbul  ","212-385 55 55 ","212- 269 73 83 ","http://www.akbank.com ","26449 aktc TR ","0046 ","AKBKTRIS  "
"Aktif Yatırım Bankası A.Ş. ","Büyükdere Cad. No 163 Zincirlikuyu Şişli İstanbul  ","212-340 80 00 ","212-340 89 87 ","http://www.aktifbank.com.tr ","","0143 ","CAYTTRIS  "
"Alternatifbank A.Ş. ","Cumhuriyet Caddesi No. 46 Elmadağ Şişli İstanbul  ","212-315 65 00 ","212-233 15 00 ","http://www.abank.com.tr ","26191 ALFBTRIS ","0124 ","ALFBTRIS  "
"Anadolubank A.Ş. ","Cumhuriyet Mah. Silahşör Cad. No 69 Bomonti Şişli İstanbul  ","212-368 70 00 ","212-296 57 15 ","http://www.anadolubank.com.tr ","","0135 ","ANDLTRIS  "
"Arap Türk Bankası A.Ş. ","Valikonağı Cad. No 10 Nişantaşı İstanbul  ","212-225 05 00 (20 Hat) ","212-225 05 26, 224 99 92 ","http://www.atbank.com.tr ","26830 atbk TR ","0091 ","ATUBTRIS  "
"Bank Mellat ","Büyükdere Cad. Binbirçiçek Sok. No 1 1.Levent İstanbul  ","212-279 80 15 ","212-284 62 14 , 284 66 57 ","http://www.mellatbank.com ","26502 melt TR ","0094 ","BKMTTRIS  "
"Bank of Tokyo-Mitsubishi UFJ Turkey A.Ş. ","Fatih Sultan Mehmet Mahallesi, Poligon Caddesi Buyaka 2 Sitesi No: 8B C-Blok, Kat: 20-21 Tepeüstü Ümraniye İstanbul  ","216-600 30 00 ","216-290 64 73  ","http://www.tu.bk.mufg.jp ","","0147 ","BOTKTRIS  "
"BankPozitif Kredi ve Kalkınma Bankası A.Ş. ","Rüzgarlıbahçe Mah. Kayın Sok. No.3 Kavacık Beykoz İstanbul  ","216-538 25 25 ","216-538 42 58 ","http://www.bankpozitif.com.tr ","","0142 ","BPTRTRIS  "
"Birleşik Fon Bankası A.Ş. ","Büyükdere Cad. No 143 Kat 1-2 Esentepe Şişli İstanbul  ","212-340 10 00 ","212-347 32 17 ","http://www.fonbank.com.tr ","27920 dev TR ","0029 ","BAYDTRIS  "
"Burgan Bank A.Ş. ","Esentepe Mah. Büyükdere Cad. No 209, Tekfen Tower, Şişli İstanbul  ","212-371 37 37  ","212-371 42 42 ","http://www.burgan.com.tr ","","0125 ","TEKFTRIS  "
"Citibank A.Ş. ","Saray Mahallesi Ömer Faik Atakan Caddesi, No 3 Yılmaz Plaza Ümraniye İstanbul  ","216- 524 50 00 ","216- 524 50 50 ","http://www.citibank.com.tr ","26277 citi TR ","0092 ","CITITRIX  "
"Denizbank A.Ş. ","Büyükdere Cad. No 141 Esentepe Şişli İstanbul  ","212-348 20 00 ","212-336 30 30 ","http://www.denizbank.com ","","0134 ","DENITRIS  "
"Deutsche Bank A.Ş. ","Esentepe Mah. Büyükdere Cad. Tekfen Tower, No 209 K:17-18 Şişli İstanbul  ","212-317 01 00 ","212-317 01 05 ","http://www.db.com.tr ","39343 tmch tr. ","0115 ","BKTRTRIS  "
"Diler Yatırım Bankası A.Ş. ","Tersane Cad. No 96 Diler Han Kat 8 Karaköy İstanbul  ","212-253 66 30 ","212-253 94 54 ","http://www.dilerbank.com.tr ","","0138 ","DYAKTRIS  "
"Fibabanka A.Ş. ","Emirhan Caddesi Barbaros Plaza İş Merkezi No 113 Dikilitaş - Beşiktaş İstanbul  ","212-381 82 00 ","212-258 37 78 ","http://www.fibabanka.com.tr ","","0103 ","FBHLTRIS  "
"Finans Bank A.Ş. ","Esentepe Mah. Büyükdere Cad. Kristal Kule Binası No 215 Şişli İstanbul  ","212-318 50 00 ","212-318 58 50 ","http://www.finansbank.com.tr ","398242 fnb tr ","0111 ","FNNBTRIS  "
"GSD Yatırım Bankası A.Ş. ","Aydınevler Mah. Kaptan Rıfat Sokak. No 3 GSD Binası No 14 Küçükyalı - Maltepe İstanbul  ","216-587 90 00 ","216-489 97 74 ","http://www.gsdbank.com.tr ","","0139 ","GSDBTRIS  "
"Habib Bank Limited ","Abide-i Hürriyet Cad. Geçit Sok. No 6/A Şişli İstanbul  ","212-246 02 20, 246 02 23 ","212-234 08 07 ","http://www.habibbank.com.tr ","27849 hbl TR ","0097 ","HABBTRIS  "
"HSBC Bank A.Ş. ","Esentepe Mah. Büyükdere Cad. No 128 Şişli İstanbul  ","212-376 40 00 ","212-336 29 39 ","http://www.hsbc.com.tr ","38385 mdn TR ","0123 ","HSBCTRIX  "
